PIN prefix,Postal abbreviation,Region
11,DL,Delhi
12–13,HR,Haryana
14–15,PB,Punjab
16,CH,Chandigarh
17,HP,Himachal Pradesh
18–19,"JK, LA","Jammu and Kashmir, Ladakh"
20–28,"UP, UK","Uttar Pradesh, Uttarakhand"
30–34,RJ,Rajasthan
36–39 (except 396),GJ,Gujarat
396,DD,Dadra and Nagar Haveli and Daman and Diu
40–44 (except 403),MH,Maharashtra
403,GA,Goa
45–48,MP,Madhya Pradesh
49,CG,Chhattisgarh
50,TG,Telangana
51–53,AP,Andhra Pradesh
56–59,KA,Karnataka
60–66,TN,Tamil Nadu
605,PY,Puducherry
67–69 (except 682),KL,Kerala
682,LD,Lakshadweep
70–74 (except 737 & 744),WB,West Bengal
737,SK,Sikkim
744,AN,Andaman and Nicobar Islands
75–77,OD,Odisha
78,AS,Assam
790–792,AR,Arunachal Pradesh
793–794,ML,Meghalaya
795,MN,Manipur
796,MZ,Mizoram
797–798,NL,Nagaland
799,TR,Tripura
80–85,"BR, JH","Bihar, Jharkhand"
90–99,APS,Army Postal Service
